city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Ad Dakhla,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Ad Dakhla,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Ad Dakhla,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Ad Dakhla,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Ad Dakhla,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Ad Dakhla,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Ad Dakhla,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
Nador,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Nador,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Nador,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Nador,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Nador,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Nador,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Nador,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
Taza,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Taza,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Taza,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Taza,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Taza,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Taza,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Taza,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
Inezgane,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Inezgane,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Inezgane,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Inezgane,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Inezgane,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Inezgane,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Inezgane,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
Larache,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Larache,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Larache,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Larache,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Larache,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Larache,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Larache,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Larache,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Larache,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Larache,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2
Larache,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3
Larache,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2
Larache,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Larache,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1
Al Khmissat,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Al Khmissat,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Al Khmissat,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Al Khmissat,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Al Khmissat,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Al Khmissat,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Al Khmissat,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Al Khmissat,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Al Khmissat,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Al Khmissat,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2
Al Khmissat,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3
Al Khmissat,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2
Al Khmissat,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Al Khmissat,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1
Guelmim,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Guelmim,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Guelmim,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Guelmim,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Guelmim,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Guelmim,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Guelmim,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Guelmim,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Guelmim,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Guelmim,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2
Guelmim,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3
Guelmim,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2
Guelmim,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Guelmim,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1
Ksar El Kebir,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Ksar El Kebir,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Ksar El Kebir,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Ksar El Kebir,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Ksar El Kebir,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Ksar El Kebir,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Ksar El Kebir,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Ksar El Kebir,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Ksar El Kebir,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Ksar El Kebir,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2
Ksar El Kebir,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3
Ksar El Kebir,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2
Ksar El Kebir,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Ksar El Kebir,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1
Khénifra,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Khénifra,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Khénifra,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Khénifra,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Khénifra,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Khénifra,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Khénifra,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Khénifra,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Khénifra,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Khénifra,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2
Khénifra,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3
Khénifra,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2
Khénifra,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Khénifra,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1
Skhirate,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0
Skhirate,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Skhirate,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2
Skhirate,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3
Skhirate,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2
Skhirate,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
Skhirate,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1
Skhirate,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0
Skhirate,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45
Skhirate,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2
Skhirate,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3
Skhirate,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2
Skhirate,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45
