city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,temperature_category
Al Khmissat,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0,Normale
Al Khmissat,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Al Khmissat,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2,Normale
Al Khmissat,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3,Fraîche
Al Khmissat,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2,Fraîche
Al Khmissat,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Al Khmissat,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1,Normale
Al Khmissat,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0,Normale
Al Khmissat,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Al Khmissat,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2,Normale
Al Khmissat,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3,Fraîche
Al Khmissat,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2,Fraîche
Al Khmissat,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Al Khmissat,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1,Normale
Guelmim,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0,Normale
Guelmim,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Guelmim,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2,Normale
Guelmim,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3,Fraîche
Guelmim,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2,Fraîche
Guelmim,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Guelmim,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1,Normale
Guelmim,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0,Normale
Guelmim,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Guelmim,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2,Normale
Guelmim,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3,Fraîche
Guelmim,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2,Fraîche
Guelmim,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Guelmim,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3,Fraîche
Ksar El Kebir,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2,Fraîche
Ksar El Kebir,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Ksar El Kebir,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2,Normale
Ksar El Kebir,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3,Fraîche
Ksar El Kebir,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2,Fraîche
Ksar El Kebir,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Ksar El Kebir,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1,Normale
Khénifra,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0,Normale
Khénifra,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Khénifra,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2,Normale
Khénifra,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3,Fraîche
Khénifra,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2,Fraîche
Khénifra,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Khénifra,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1,Normale
Khénifra,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0,Normale
Khénifra,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Khénifra,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2,Normale
Khénifra,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3,Fraîche
Khénifra,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2,Fraîche
