lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
33.4375,-7.625,2026-09-16,26.8,19.6,0.0,0,17.5,42.1,45
33.4375,-7.625,2026-09-17,26.5,18.8,0.0,2,14.0,35.6,3
33.4375,-7.625,2026-09-18,27.3,16.8,0.0,3,17.7,42.8,45
33.4375,-7.625,2026-09-19,27.8,19.0,0.0,2,13.1,34.9,45
33.4375,-7.625,2026-09-20,30.9,20.3,0.0,0,13.3,35.3,45
29.6875,-9.75,2026-09-14,38.8,29.5,0.3,8,33.6,62.3,3
29.6875,-9.75,2026-09-15,36.5,27.4,0.0,0,19.9,33.1,0
29.6875,-9.75,2026-09-16,31.6,21.4,0.0,0,22.5,38.2,1
29.6875,-9.75,2026-09-17,24.2,19.4,0.0,0,23.2,38.2,3
29.6875,-9.75,2026-09-18,24.9,19.2,0.0,0,22.3,37.1,3
29.6875,-9.75,2026-09-19,28.4,19.4,0.0,0,15.6,25.9,2
29.6875,-9.75,2026-09-20,31.2,23.3,0.0,0,17.0,29.2,1
33.6875,-7.375,2026-09-14,31.2,22.8,0.0,0,11.1,26.6,1
33.6875,-7.375,2026-09-15,27.1,21.0,0.0,0,14.0,33.1,45
33.6875,-7.375,2026-09-16,25.3,20.7,0.0,0,16.7,38.5,2
33.6875,-7.375,2026-09-17,25.3,19.5,0.0,0,14.2,33.5,3
33.6875,-7.375,2026-09-18,25.0,17.1,0.0,3,15.9,37.8,3
33.6875,-7.375,2026-09-19,30.0,18.8,0.0,3,17.5,32.8,45
33.6875,-7.375,2026-09-20,33.6,21.2,0.0,0,19.1,36.4,0
32.875,-6.875,2026-09-14,37.7,22.1,0.0,5,27.8,53.3,3
32.875,-6.875,2026-09-15,35.0,21.3,0.0,0,25.2,48.6,3
32.875,-6.875,2026-09-16,31.6,17.9,0.0,0,21.6,41.4,0
32.875,-6.875,2026-09-17,28.3,13.7,0.0,0,18.4,35.6,45
32.875,-6.875,2026-09-18,29.9,14.3,0.0,13,17.4,35.6,2
32.875,-6.875,2026-09-19,33.4,17.4,0.3,8,12.0,32.0,3
